rounded_lat,rounded_long,rounded_date,astronomical_twilight_begin,nautical_twilight_begin,civil_twilight_begin,sunrise,solar_noon,sunset,civil_twilight_end,nautical_twilight_end,astronomical_twilight_end
40,-80,2016-11-06,37394,39296,41232,42849,61419,79990,81607,83542,85445
40,-90,2016-11-06,39795,41698,43634,45251,63819,82388,84005,85941,1444
30,-120,2016-11-06,46608,48299,50011,51429,71020,4211,5629,7340,9031
40,-90,2016-10-23,38955,40837,42735,44307,63854,83401,84972,470,2353
30,-80,2016-10-23,36457,38126,39807,41193,61454,81715,83101,84782,51
40,-70,2016-10-02,32879,34776,36658,38195,59348,80500,82037,83919,85816
50,-120,2016-10-02,44102,46394,48643,50475,71345,5815,7647,9895,12188
30,-100,2016-09-25,40250,41927,43594,44952,66684,2017,3375,5042,6719
40,-90,2016-09-18,36791,38739,40646,42188,64433,277,1819,3726,5674
40,-80,2016-09-18,34389,36337,38245,39786,62033,84280,85822,1329,3277
50,-120,2016-09-18,42652,45057,47360,49203,71631,7659,9501,11805,14210
30,-80,2016-09-11,34922,36636,38326,39695,62183,84671,86039,1329,3043
40,-120,2016-09-11,43524,45512,47443,48996,71780,8165,9717,11649,13637
30,-90,2016-09-04,37039,38781,40490,41870,64727,1185,2564,4273,6015
30,-80,2016-08-28,34336,36111,37845,39239,62461,85684,678,2412,4187
40,-80,2016-08-28,32897,34998,37005,38598,62461,86324,1518,3524,5626
0,-80,2016-08-21,36562,38035,39507,40709,62578,84447,85649,721,2195
50,-80,2016-08-14,28455,31666,34404,36460,62673,2486,4541,7280,10490
30,-80,2016-08-14,33674,35532,37327,38760,62673,186,1619,3413,5271
60,10,2016-08-14,,5099,9710,12656,41076,69495,72441,77052,
40,-90,2016-07-31,32974,35436,37675,39403,65181,4559,6287,8527,10988
40,-120,2016-07-31,40181,42641,44880,46608,72381,11754,13482,15721,18181
30,-90,2016-07-24,34997,37001,38904,40405,65192,3578,5080,6982,8986
30,-80,2016-07-17,32251,34302,36238,37761,62773,1386,2909,4845,6895
30,-120,2016-07-10,41543,43633,45597,47139,72329,11120,12662,14626,16716
50,-110,2016-07-10,,34793,38429,40875,69929,12584,15029,18666,
50,-120,2016-07-03,,36596,40398,42902,72263,15224,17729,21530,
40,-70,2016-07-03,26094,28956,31427,33284,60262,840,2697,5168,8030
30,-120,2016-07-03,41278,43399,45385,46940,72263,11187,12742,14728,16849
30,-80,2016-06-26,31475,33615,35615,37179,62580,1582,3145,5145,7285
30,-80,2016-05-22,31793,33827,35751,37267,62203,739,2255,4179,6213
30,-90,2016-05-08,34909,36846,38699,40168,64587,2606,4076,5928,7865
40,-80,2016-04-10,33186,35259,37247,38829,62467,86106,1288,3276,5349
30,-120,2016-04-03,44677,46406,48107,49481,72183,8484,9858,11559,13288
50,-120,2016-04-03,41693,44251,46642,48522,72183,9443,11323,13714,16273
