x,y
148.3571429,659.2857143
148,666.1666667
148.2272727,711.7272727
148,720.1666667
148,726.1666667
148,732.1666667
148.3,737.8
149.2272727,304.1818182
149,311
149.2272727,406.1818182
149.2272727,675.2727273
149,683.6666667
149,689.6666667
149,695.6666667
149,701.6666667
149,706
150.5,332.4444444
150.2272727,387.3636364
150,395.8333333
150,400
150.4,608.4
150,616.1666667
150,622.1666667
150,628.1666667
150,634.1666667
150.1,639.8
150.5,746.2222222
151.5,271.6666667
151.2272727,374.5454545
151,381
151.2272727,416.5454545
151.2272727,578.4545455
151,586.8333333
151,592.8333333
151,598.8333333
151,603
152.3571429,365.4285714
152.4,427.1
152.4,439.6
153.4,294
153.4,342
153,350
153,356
152.5,360.3333333
153.4,649.4
153.5,754.7222222
154.2272727,222.3636364
154,230.8333333
154,236.8333333
154,242.8333333
154,248.8333333
154,254.8333333
154,260.8333333
154.5,266
154.2272727,282.3636364
154,290.5
154.2272727,318.3636364
154.3,326.4
154.3571429,657
154,663.8333333
154,669.8333333
154,715.3333333
154,721.3333333
154,727.3333333
154,733.3333333
154,739.3333333
155.1,305.4
155.5,312.3333333
155.2777778,406.8888889
155.1666667,447.5
155.5,678.3333333
155,685.5
154.5,690.75
153,694.75
156.5,334.25
156.2272727,388.3636364
156,396.8333333
156.1666667,401.6666667
156.4,612.6
156,620.3333333
156,626.3333333
156,632.3333333
156,638.3333333
156.1,644
156.5,745.25
157.375,272
157.1,374.2
157.5,381.25
157.0555556,416.7777778
157.2272727,576.6363636
157,585
157,591
157,597
157,603
157,607
158.375,365.875
158.2272727,427.1818182
158,435.6666667
158.3,441.4
158.4,454.6
159.1,215.2
159.2777778,298.7777778
159.375,341.875
159,349.1666667
159,355.1666667
159.5,360.5
159.0454545,753.0909091
160.1,225.7
160,233.6666667
160,239.6666667
160,245.6666667
160,251.6666667
160,257.6666667
160,263.6666667
160.3,279.5
160,287.6666667
160.5,293
160.2272727,321.1818182
160.3,329.2
160.4,653.6
160,661.3333333
160,667.3333333
160,673.3333333
160,718.6666667
160,724.6666667
160,730.6666667
160,736.6666667
161.0555556,308.8888889
161.5,315.6666667
161.2777778,410
161.6428571,446.7142857
161.3571429,679.3571429
159.7,684.9
162,390
162,398
162.5,402.75
162.3571429,615.5714286
162,621.8333333
162,627.8333333
162,633.8333333
162,639.8333333
162,645.8333333
162.5,742.375
163.4,208.7
163.5,269
163.5,335
163.2272727,377.1818182
163.5,385
163.2,419.6
163.5,574
163,580.6666667
163,586.6666667
163,592.6666667
163,598.6666667
163,604.6666667
162.7,610
164.3571429,369
164.1,430.2
164,438.1666667
163.9,454.95
165.0555556,218.6666667
165.2777778,301.6666667
165.0555556,344.6666667
165,352.1666667
165,358.1666667
165.5,363
165,750.25
166.2272727,228.6363636
166,237.1666667
166,243.1666667
166,249.1666667
166,255.1666667
166.3,260.6
166.3,276.9
166,285.1666667
166,291.1666667
166.1666667,295.6666667
166.4,324.1
166.5,461.125
166.4,652.7
166,660.8333333
166,666.8333333
166,672.8333333
166,721.1666667
166,727.1666667
166,733.1666667
167,312
167,318
167,408
167.0555556,444.4444444
167,678.5833333
168.0555556,202.2222222
168.0555556,394.2222222
168.25,400.5
168.4,621.4
168,629.1666667
168,635.1666667
168,641.1666667
168,646.25
168.5,738.5
169.5,211.1111111
169.5,265.7777778
169.5,331.7777778
169.3,339.4
169.3,379.4
168.9,387
169.5,415.7777778
169,423.5
169.2272727,573.4545455
169,581.8333333
169,587.8333333
169,593.8333333
169,599.8333333
169,605.8333333
169,611.8333333
169,616
170.5,196
170.0555556,370.1111111
170.2777778,431.1111111
170.3,438.2
170.3888889,454.2222222
171.3571429,219.5714286
171.1,302
171.3571429,345.5714286
171,352
171,358
171.3,363.6
171.5,745
171,751.9166667
171.8333333,228.1111111
172,235.6666667
172,241.6666667
172,247.6666667
172,253.6666667
172.5,258.75
172,275.6
172,283.6666667
172,289.6666667
172.5,294.75
172.25,322.625
171.7222222,462.6111111
172.2272727,656.4545455
172,664.8333333
172,670.8333333
172,675.5
172,723.1666667
172,729.1666667
173.5,189
173.2,310.3
173.5,317
173.4,405.5
173.5,442.3333333
173.5,449.5
174.2272727,393
174,399.5
174.4,625.2
174,633
174,639
174,645
174,650
174.5,734.5
175.2272727,206
175.3,214
175.4,265.5
175.2272727,332
175.3,340
175.2272727,380
175,386.5
175.2272727,416
175,424.5
175.5,468.5
175.2272727,571.0909091
175,579.5
175,585.5
175,591.5
175,597.5
175,603.5
175,609.5
175,615.5
175,619.5
176.3571429,197.2857143
176.3571429,371.2857143
176.5,432.2222222
177.2272727,222.3636364
177.4,299.9
177.2272727,348.3636364
177,356.8333333
177,362.8333333
177,367
177.2272727,456.3636364
177.0555556,483
177,490.5
176.6428571,496.7857143
177.5,741
176.7727273,750.4545455
178.2272727,233.5454545
178,242
178,248
178,254
178.5,259.25
178.2272727,275.5454545
178,284
178,290
178,294
178.5,322.6666667
177.8636364,504.4545455
178.4,659
178,666.8333333
177.5,672.1875
178,725.1666667
179.2272727,184.9090909
179.5,192.5
179.2272727,310.9090909
179,317.5
179.4,406.5
179.2272727,442.9090909
179.5,450
179.3,514.3
180.4,393.8
179.5,400
180.5,477.3333333
180.4,627.8
180,635.6666667
180,641.6666667
180,647.6666667
180,652.75
180.5,730.75
181.2272727,207.5454545
181.3,215.6
181.5,266.6666667
181.2272727,333.5454545
181.3,341.6
181.2272727,381.5454545
181,388
181.2272727,417.5454545
181,426
181.2272727,465.5454545
181,472
181.1666667,520.7222222
181.2272727,567.5454545
181,576
181,582
181,588
181,594
181,600
181,606
181,612
181,618
181,622
182.3571429,198.7142857
182.3571429,372.7142857
182.5,433.7777778
182,531.0416667
183.4,223.4
183.4,301.4
183.4,349.4
183,357.3333333
183,363.3333333
182.5,367.6666667
183.5,456.375
183.4,487.4
183,495.3333333
183.4,541.05
183.5,737.5555556
183,745.3333333
183,750.5833333
184,231.3333333
184,237.3333333
184,243.3333333
184,249.3333333
184,255.3333333
184.5,260.25
184,277.4
184,285.3333333
184,291.3333333
184,295
184.25,324.375
184,501.3333333
184,507.3333333
184.2272727,661.7272727
183.1666667,668.5833333
185.2272727,180.3636364
185,188.8333333
185.5,194
185.2272727,312.3636364
185.5,319.6666667
185.4,407.9
185.2272727,444.3636364
185.5,451.6666667
186.2272727,396.0909091
186,403.5
186.5,479.3333333
186.2272727,630.0909091
186,638.5
186,644.5
186,650.5
186.5,656
186,728.3333333
187.0555556,208.6666667
187.3,215.4
187.25,268.125
